name,latitude,longitude,description,type
"GRAN VIA DE LES CORTS CATALANES,  981",41.4120452,2.1972673,10-SantMartí/72-Sant Martí de Provençals,old
"GRAN VIA DE LES CORTS CATALANES,  1062",41.4139298,2.2017955,10-SantMartí/71-Provençals del Poblenou,old
"GRAN VIA DE LES CORTS CATALANES , 1041",41.4145805,2.2008139,10-SantMartí/72-Sant Martí de Provençals,old
"GRAN VIA DE LES CORTS CATALANES,  1118",41.4167933,2.2058345,10-SantMartí/71-Provençals del Poblenou,old
"GRAN VIA DE LES CORTS CATALANES,  1131",41.4183999,2.2058133,10-SantMartí/73-la Verneda i la Pau,old
"C/ VILADOMAT,  122",41.3808772,2.1559939,02-Eixample/09-la Nova Esquerra de l'Eixample,old
"C/ BILBAO, 174",41.4090202,2.1954152,10-SantMartí/71-Provençals del Poblenou,old
"C/ SANCHO DE ÁVILA,  104 - C/ BADAJOZ",41.4003793,2.1924144,10-SantMartí/66-el Parc i la Llacuna del Poblenou,old
"C/ SANCHO DE ÁVILA, 170 / LLACUNA",41.4027907,2.1956161,10-SantMartí/68-el Poblenou,old
"C/ CASTELLA,  28 / DIAGONAL",41.4056269,2.1977119,10-SantMartí/68-el Poblenou,old
"C/ PERE IV,  301 / FLUVIÀ",41.4093405,2.2024461,10-SantMartí/71-Provençals del Poblenou,old
"C/ PERE IV, 488",41.4148983,2.207186,10-SantMartí/71-Provençals del Poblenou,old
"RAMBLA PRIM, 79",41.416043,2.2124993,10-SantMartí/70-el Besòs i el Maresme,old
"RONDA SANT PAU, 79",41.3783467,2.1633139,02-Eixample/10-Sant Antoni,old
"C/ PUJADES, 57B",41.3958685,2.192952,10-SantMartí/66-el Parc i la Llacuna del Poblenou,old
"C/ ESPRONCEDA, 124",41.4065912,2.203028,10-SantMartí/68-el Poblenou,old
"C/ PALLARS, 182",41.4003471,2.1969105,10-SantMartí/68-el Poblenou,old
"C/ PUJADES, 121",41.3993329,2.1974184,10-SantMartí/68-el Poblenou,old
"C/ PUJADES, 173/RBLA POBLE NOU",41.4018686,2.20077,10-SantMartí/68-el Poblenou,old
"C/ PUJADES, 191",41.4026275,2.2017694,10-SantMartí/68-el Poblenou,old
"C/ PUJADES, 311/ FLUVIÀ",41.4070139,2.2074469,10-SantMartí/69-Diagonal Mar i el Front Marítim del Poblenou,old
"C/ SELVA DE MAR, 46",41.4091355,2.2088179,10-SantMartí/69-Diagonal Mar i el Front Marítim del Poblenou,old
"C/ LLULL, 465",41.4132316,2.2177652,10-SantMartí/70-el Besòs i el Maresme,old
"RAMBLA DE PRIM, 19",41.4116634,2.2183313,10-SantMartí/70-el Besòs i el Maresme,old
"AV. DIAGONAL, 26",41.4110822,2.2163136,10-SantMartí/70-el Besòs i el Maresme,old
"AV. D'EDUARD MARISTANY, 1 /FORUM",41.4109763,2.2193724,10-SantMartí/70-el Besòs i el Maresme,old
"C/ RAMON TURRÓ, 91",41.3953011,2.1965965,10-SantMartí/67-la Vila Olímpica del Poblenou,old
"C/ RAMON TURRÓ, 292",41.4038559,2.2084257,10-SantMartí/69-Diagonal Mar i el Front Marítim del Poblenou,old
"C/ INDEPENDÈNCIA, 379",41.4118378,2.1778852,10-SantMartí/64-el Camp de l'Arpa del Clot,old
"C/ DEL DOCTOR TRUETA, 222",41.3992169,2.2041415,10-SantMartí/68-el Poblenou,old
"C/ BILBAO, 2",41.4008312,2.206645,10-SantMartí/68-el Poblenou,old
"C/ BAC DE RODA, 11",41.4023354,2.2105777,10-SantMartí/68-el Poblenou,old
SELVA DE MAR / PG. DEL TAULAT,41.4053697,2.2135818,10-SantMartí/69-Diagonal Mar i el Front Marítim del Poblenou,old
"AV. LITORAL, 40 (D)",41.3896642,2.1999572,10-SantMartí/67-la Vila Olímpica del Poblenou,old
"AV. LITORAL, 172",41.3919877,2.2037136,10-SantMartí/67-la Vila Olímpica del Poblenou,old
"AV.LITORAL, 84",41.3979002,2.2088454,10-SantMartí/68-el Poblenou,old
"PG. DE GARCIA FÀRIA, 21/ESPRONCEDA",41.400654,2.210191,10-SantMartí/69-Diagonal Mar i el Front Marítim del Poblenou,old
"C/ LLULL, 309",41.4065291,2.2091221,10-SantMartí/69-Diagonal Mar i el Front Marítim del Poblenou,old
"PG. DE GARCIA FÀRIA, 37/JOSEP FERRATER",41.403216,2.2136,10-SantMartí/69-Diagonal Mar i el Front Marítim del Poblenou,old
"C/ ROSSELLÓ, 557",41.4110754,2.1809764,10-SantMartí/64-el Camp de l'Arpa del Clot,old
"PG. DE GARCIA FÀRIA, 85",41.4053649,2.2162094,10-SantMartí/69-Diagonal Mar i el Front Marítim del Poblenou,old
"PG. ZONA FRANCA, 244",41.36352,2.1369015,03-Sants-Montjuïc/13-la Marina de Port,old
"GRAN VIA DE LES CORTS CATALANES, 179 (D)",41.3675574,2.1388216,03-Sants-Montjuïc/16-la Bordeta,old
"C/ SANT PERE D´ABANTO, 2",41.371366,2.143565,03-Sants-Montjuïc/15-Hostafrancs,old
"C/ GAVÀ, 1",41.3723682,2.1419494,03-Sants-Montjuïc/16-la Bordeta,old
"C/ QUETZAL, 22-24",41.3675438,2.1342316,03-Sants-Montjuïc/16-la Bordeta,old
"C/GAVÀ, 81",41.3703717,2.1389439,03-Sants-Montjuïc/16-la Bordeta,old
"C/CONSELL DE CENT, 6",41.3755503,2.1439036,03-Sants-Montjuïc/15-Hostafrancs,old
"C/ DE SANT PAU, 89 - 97",41.3768806,2.1698206,01-CiutatVella/01-el Raval,old
PG. SANT ANTONI /PL. SANTS,41.3756948,2.1358571,03-Sants-Montjuïc/18-Sants,old
"C/ BRUC, 130",41.3969839,2.1661852,02-Eixample/07-la Dreta de l'Eixample,old
"AV. LITORAL, 72",41.3961412,2.2078439,10-SantMartí/68-el Poblenou,old
